Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
1,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,3,0.458,0.346,0.498,0.747211895910781,11,34.1,23.1,7.5,6.1,14.4,20.7,105
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,14,0.443,0.322,0.487,0.75,11.9,32,21.4,8.9,5.3,16.4,21.1,100.5
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,8,0.456,0.343,0.497,0.743718592964824,10.8,30.3,24.1,7.8,4.5,13.3,20.5,98.7
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,4,0.437,0.342,0.476,0.740740740740741,11.4,31.4,22.3,8.6,4.8,17.4,20.1,97.4
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,25,0.435,0.345,0.465,0.211193241816262,9.8,33,19.9,7.5,4.7,12.7,21.4,97
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,9,0.433,0.349,0.465,0.738396624472574,10,31.7,19.9,8,4.3,14,19.6,97.8
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,3,0.458,0.346,0.498,0.747211895910781,11,34.1,23.1,7.5,6.1,14.4,20.7,105
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,8,0.456,0.343,0.497,0.743718592964824,10.8,30.3,24.1,7.8,4.5,13.3,20.5,98.7
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,7,0.44,0.343,0.479,0.742857142857143,11.2,31.5,22.1,7.8,4.6,13.6,20.4,101.8
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,22,0.456,0.355,0.491,0.772946859903382,10.7,33.4,23.8,7,4.8,14,19.3,99.5
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,23,0.442,0.351,0.478,0.741293532338308,10.5,31.9,20.1,7.4,5.2,15.3,20.3,95.1
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,30,0.439,0.338,0.468,0.755980861244019,11,33.6,20.4,8,3.6,12.2,18.7,98.6
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,21,0.444,0.36,0.468,0.742990654205608,9.9,32.2,20.7,7.9,4.4,14.2,19.7,97
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,13,0.439,0.341,0.483,0.766169154228856,11.6,32.1,23.5,7.4,4.9,16.1,19.6,97.1
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,13,0.439,0.341,0.483,0.766169154228856,11.6,32.1,23.5,7.4,4.9,16.1,19.6,97.1
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,25,0.435,0.345,0.465,0.211193241816262,9.8,33,19.9,7.5,4.7,12.7,21.4,97
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,18,0.459,0.346,0.501,0.731914893617021,11.2,31.2,22.8,6.9,5,14.4,20.3,100.9
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,6,0.44,0.357,0.47,0.774509803921569,8.9,35.2,22.1,6.1,5.4,12.6,20.8,97.3
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,6,0.44,0.357,0.47,0.774509803921569,8.9,35.2,22.1,6.1,5.4,12.6,20.8,97.3
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,11,0.456,0.335,0.494,0.757009345794392,10.6,30.9,20.7,6.8,5.8,12.2,18.7,98.6
